timestamp,x,y,z
2024-08-28T13:23:15.743598,-0.43,-0.55,-0.92
2024-08-28T13:23:15.978859,-0.55,-0.67,-0.92
2024-08-28T13:23:16.231898,-0.49,-0.67,-0.92
2024-08-28T13:23:16.473768,-0.55,-0.67,-0.85
2024-08-28T13:23:16.707221,-0.43,-0.61,-0.92
2024-08-28T13:23:16.963774,-0.49,-0.55,-0.92
2024-08-28T13:23:17.217183,-0.73,-0.61,-0.98
2024-08-28T13:23:17.458162,-0.49,-0.61,-0.92
2024-08-28T13:23:17.699173,-0.43,-0.55,-0.92
2024-08-28T13:23:17.943656,-0.43,-0.49,-0.92
2024-08-28T13:23:18.180410,-0.43,-0.55,-0.92
2024-08-28T13:23:18.441173,-0.31,-0.61,-0.92
2024-08-28T13:23:18.692702,-0.43,-0.67,-0.92
2024-08-28T13:23:18.922338,-0.12,-0.92,-0.67
2024-08-28T13:23:19.160242,0.31,-0.67,-0.67
2024-08-28T13:23:19.406986,-0.73,-0.67,-0.92
2024-08-28T13:23:19.632334,-0.43,-0.43,-0.73
2024-08-28T13:23:19.868722,-0.24,-0.61,-0.73
2024-08-28T13:23:20.093155,-0.67,-0.85,-0.79
2024-08-28T13:23:20.338070,-0.37,-0.79,-0.85
2024-08-28T13:23:20.564859,-0.67,-0.61,-0.79
2024-08-28T13:23:20.819431,-0.18,-0.43,-0.67
2024-08-28T13:23:21.056509,-0.67,-0.55,-0.85
2024-08-28T13:23:21.292286,-0.55,-0.49,-0.98
2024-08-28T13:23:21.547229,-0.61,-0.61,-1.1
2024-08-28T13:23:21.797063,-0.55,-0.49,-1.1
2024-08-28T13:23:22.033051,-0.43,-0.55,-0.92
2024-08-28T13:23:22.263618,-0.49,-0.73,-0.79
2024-08-28T13:23:22.511186,-0.43,-0.61,-0.79
2024-08-28T13:23:22.743655,-0.55,-0.55,-0.85
2024-08-28T13:23:22.985594,-0.49,-0.61,-0.85
2024-08-28T13:23:23.216655,-0.37,-0.67,-0.85
2024-08-28T13:23:23.440908,-0.43,-0.73,-0.85
2024-08-28T13:23:23.693779,-0.61,-0.55,-1.04
2024-08-28T13:23:23.947688,-0.43,-0.49,-0.92
2024-08-28T13:23:24.212391,-0.55,-0.55,-0.85
2024-08-28T13:23:24.454902,-0.43,-0.55,-0.92
2024-08-28T13:23:24.701457,-0.61,-0.61,-0.98
2024-08-28T13:23:24.928344,-0.43,-0.55,-1.04
2024-08-28T13:23:25.166032,-0.61,-0.61,-0.98
2024-08-28T13:23:25.389867,-0.43,-0.61,-0.85
2024-08-28T13:23:25.640598,-0.31,-0.61,-0.85
2024-08-28T13:23:25.878434,-0.55,-0.49,-0.98
2024-08-28T13:23:26.114459,-0.37,-0.49,-1.04
2024-08-28T13:23:26.346110,-0.73,-0.55,-1.04
2024-08-28T13:23:26.578444,-0.24,-0.49,-1.04
2024-08-28T13:23:26.813899,-0.55,-0.55,-0.92
2024-08-28T13:23:27.050668,-0.55,-0.55,-0.98
2024-08-28T13:23:27.282014,-0.49,-0.55,-0.92
2024-08-28T13:23:27.515313,-0.61,-0.55,-0.98
2024-08-28T13:23:27.782325,-0.61,-0.55,-1.04
2024-08-28T13:23:28.066279,-0.49,-0.55,-1.04
2024-08-28T13:23:28.305557,-0.43,-0.55,-1.04
2024-08-28T13:23:28.543635,-0.37,-0.49,-0.98
2024-08-28T13:23:28.781329,-0.43,-0.61,-0.85
2024-08-28T13:23:29.030818,-0.24,-0.67,-0.85
2024-08-28T13:23:29.276224,-0.37,-0.73,-0.92
2024-08-28T13:23:29.508696,-0.43,-0.37,-0.98
2024-08-28T13:23:29.758699,-0.73,-0.37,-1.04
2024-08-28T13:23:30.015323,-0.49,-0.43,-0.98
2024-08-28T13:23:30.243823,-0.67,-0.73,-0.92
2024-08-28T13:23:30.479427,-0.24,-0.79,-0.92
2024-08-28T13:23:30.713774,-0.24,-0.61,-0.92
2024-08-28T13:23:30.956006,-0.55,-0.55,-0.98
2024-08-28T13:23:31.186797,-0.55,-0.61,-0.92
2024-08-28T13:23:31.410640,-0.67,-0.67,-0.98
2024-08-28T13:23:31.647967,-0.37,-0.55,-1.04
2024-08-28T13:23:31.875532,-0.55,-0.55,-1.04
2024-08-28T13:23:32.118864,-0.24,-0.55,-0.92
2024-08-28T13:23:32.360457,-0.37,-0.61,-0.79
2024-08-28T13:23:32.595794,-0.43,-0.49,-0.92
2024-08-28T13:23:32.842150,-0.79,-0.43,-0.98
2024-08-28T13:23:33.075501,-0.67,-0.49,-0.98
2024-08-28T13:23:33.308985,-0.49,-0.61,-0.92
2024-08-28T13:23:33.543935,-0.43,-0.55,-0.92
2024-08-28T13:23:33.781782,-0.61,-0.55,-1.04
2024-08-28T13:23:34.025633,-0.73,-0.49,-1.04
2024-08-28T13:23:34.261430,-0.49,-0.55,-0.98
2024-08-28T13:23:34.479379,-0.67,-0.55,-0.98
2024-08-28T13:23:34.714476,-0.43,-0.49,-0.98
2024-08-28T13:23:34.960813,-0.31,-0.49,-0.92
2024-08-28T13:23:35.192264,-0.49,-0.49,-0.98
2024-08-28T13:23:35.431915,-0.49,-0.55,-0.92
2024-08-28T13:23:35.662996,-0.49,-0.55,-0.92
2024-08-28T13:23:35.893168,-0.43,-0.55,-0.92
2024-08-28T13:23:36.131898,-0.31,-0.43,-0.98
2024-08-28T13:23:36.359518,-0.49,-0.43,-0.98
2024-08-28T13:23:36.651242,0.0,-0.55,-0.85
2024-08-28T13:23:36.880026,-0.24,-0.67,-0.92
2024-08-28T13:23:37.109641,-0.31,-0.55,-0.98
2024-08-28T13:23:37.342826,-0.37,-0.49,-0.92
2024-08-28T13:23:37.598192,-0.31,-0.55,-0.85
2024-08-28T13:23:37.842971,-0.37,-0.61,-0.85
2024-08-28T13:23:38.229167,-0.24,-0.49,-0.98
2024-08-28T13:23:38.628110,-0.43,-0.67,-0.92
2024-08-28T13:23:38.881047,-0.18,-0.55,-0.98
2024-08-28T13:23:39.113763,-0.49,-0.55,-0.98
2024-08-28T13:23:39.347804,-0.24,-0.55,-0.92
2024-08-28T13:23:39.939061,-0.18,-0.67,-0.92
2024-08-28T13:23:40.167991,-0.49,-0.61,-1.04
2024-08-28T13:23:40.770544,-0.37,-0.49,-0.98
2024-08-28T13:23:40.995309,-0.24,-0.37,-0.85
2024-08-28T13:23:41.233719,-0.12,-0.31,-0.98
2024-08-28T13:23:41.459833,-0.73,-0.61,-1.1
2024-08-28T13:23:41.695231,-0.12,-0.67,-0.85
2024-08-28T13:23:41.931032,-0.18,-0.61,-0.79
2024-08-28T13:23:42.143215,-0.18,-0.55,-0.79
2024-08-28T13:23:42.379714,-0.18,-0.49,-0.85
2024-08-28T13:23:42.607388,-0.12,-0.49,-0.98
2024-08-28T13:23:42.828770,-0.24,-0.55,-1.04
2024-08-28T13:23:43.046840,0.06,-0.43,-0.92
2024-08-28T13:23:43.579978,0.0,-0.55,-0.85
2024-08-28T13:23:43.792003,-0.12,-0.61,-0.85
2024-08-28T13:23:44.022033,-0.12,-0.55,-0.85
2024-08-28T13:23:44.248077,-0.31,-0.55,-0.92
2024-08-28T13:23:44.852147,-0.12,-0.49,-0.85
2024-08-28T13:23:45.081877,-0.18,-0.61,-0.92
2024-08-28T13:23:45.302217,0.0,-0.61,-0.92
2024-08-28T13:23:45.530302,-0.06,-0.55,-0.92
2024-08-28T13:23:45.743581,-0.06,-0.49,-0.85
2024-08-28T13:23:45.965271,0.0,-0.55,-0.92
2024-08-28T13:23:46.178542,0.0,-0.55,-0.85
2024-08-28T13:23:46.439828,0.0,-0.49,-0.85
2024-08-28T13:23:46.978092,0.0,-0.49,-0.85
2024-08-28T13:23:47.200328,-0.12,-0.61,-0.85
2024-08-28T13:23:47.434584,-0.06,-0.61,-0.85
2024-08-28T13:23:47.660115,-0.31,-0.67,-0.92
2024-08-28T13:23:47.886900,-0.12,-0.55,-0.92
2024-08-28T13:23:48.093434,-0.24,-0.61,-0.85
2024-08-28T13:23:48.330855,0.06,-0.61,-0.85
2024-08-28T13:23:48.553978,0.12,-0.61,-0.85
2024-08-28T13:23:48.794491,0.06,-0.55,-0.85
2024-08-28T13:23:49.013326,-0.06,-0.61,-0.79
2024-08-28T13:23:49.244528,-0.24,-0.61,-0.92
2024-08-28T13:23:49.466559,-0.18,-0.55,-0.92
2024-08-28T13:23:49.711190,-0.37,-0.61,-0.98
2024-08-28T13:23:49.932168,-0.37,-0.55,-0.98
2024-08-28T13:23:50.154500,-0.49,-0.61,-0.92
2024-08-28T13:23:50.377860,-0.43,-0.55,-0.98
2024-08-28T13:23:50.613561,-0.49,-0.79,-0.85
2024-08-28T13:23:50.845695,-0.43,-0.73,-0.98
2024-08-28T13:23:51.078874,-0.67,-0.73,-0.98
2024-08-28T13:23:51.313341,-0.55,-0.67,-0.98
2024-08-28T13:23:51.528139,-0.43,-0.31,-0.98
2024-08-28T13:23:51.743646,-0.85,-0.43,-1.04
2024-08-28T13:23:51.966462,-0.55,-0.49,-0.98
2024-08-28T13:23:52.200391,-0.73,-1.04,-0.85
2024-08-28T13:23:52.429530,-0.43,-0.73,-0.92
2024-08-28T13:23:52.645555,-0.61,-0.67,-0.92
2024-08-28T13:23:52.888856,-0.61,-0.55,-0.92
2024-08-28T13:23:53.131929,-0.31,-0.61,-0.92
2024-08-28T13:23:53.364078,-0.61,-0.55,-1.04
